№ п/п;Товар;Обозначение;Модификация;Кол-во;На заказы;Поставщик
170;Блок питания 24В, 120Вт ABL MODICON оптимальный;ABLS1A24050;<>;1; ;ЭЛЕКТРОТЕХМОНТАЖ ТД ООО
171;Блок питания LED IEK;LED IEK LSP1-060-12-20-33-PRO 60 Вт;<>;38; ;Толедо СК
172;Блок питания для датчика осадков;БПДО;<>;1; ;АЛЬФАИНЖИНИРИНГ ООО
173;Блок питания комбинированный;КБП-301;<>;2; ;Механотроника НТЦ ООО
174;Блок питания комбинированный;БПК-5-Т;<>;7; ;Механотроника НТЦ ООО
175;Блок питания МЕАНДР;БПИ-13-12 УХЛ4;<>;8; ;ТД УЭТ
176;Блок питания от цепей тока;Пион-Т;<>;7; ;Микропроцессорные технологии
177;Блок преобразователя сигналов TTL-RS485 Д3170;ЭКРА656116.625;<>;9; ;ЭКРА НПП ООО
178;Блок приемно-контрольный охранно пожарный;С2000-4 вер.3.00;<>;2; ;МАГАЗИН 01
179;Блок распределительный;РБ-250 1П 250А;<>;10; ;Толедо СК
180;Блок распределительный;RBP-35-50;<>;3; ;Толедо СК
181;Блок распределительный;РБ-125 1П 125А;<>;20; ;Толедо СК
182;Блок реле;ИН 3-10Р-05;<>;49; ;ТЕРМА-ЭНЕРГО ООО
183;Блок реле;ИН 3-10Р-03;<>;35; ;ТЕРМА-ЭНЕРГО ООО
184;Блок сигнально-пусковой;С2000-СП1;<>;1; ;ТИНКО ТД
185;Блок сигнально-пусковой;С2000-СП1;С2000-СП1 исп.01;2; ;МАГАЗИН 01
186;Блок управления;БУП;<>;3; ;ПРОЭЛ НПП ООО
187;Блок энергетический;БЭМП РУ-ОЛ.5.220.Д;<>;11; ;ЧЭАЗ АО
188;Блок энергетический;БЭМП РУ-ВВ.5.220.Д;<>;3; ;ЧЭАЗ АО
189;Блок энергетический;БЭМП РУ-СВ.5.220.Д;<>;1; ;ЧЭАЗ АО
190;Блок энергетический;БЭМП РУ-ТН.0.220.Д;<>;2; ;ЧЭАЗ АО
191;Блок энергетический;БЭМП РУ-ОЛ.5.220.Д;<>;20; ;ЧЭАЗ-КОМПЛЕКТАЦИЯ ООО
192;Блок энергетический;БЭМП РУ-СВ.5.220.Д;<>;1; ;ЧЭАЗ-КОМПЛЕКТАЦИЯ ООО
193;Блок энергетический;БЭМП РУ-ВВ.5.220.Д;<>;4; ;ЧЭАЗ-КОМПЛЕКТАЦИЯ ООО
194;Блок энергетический;БЭМП РУ-ОЛ.5.220.Д;БЭМП РУ-ОЛ.5.220.Д2;3; ;ЧЭАЗ АО
195;Блок энергетический;БЭМП РУ-ТН.0.220.Д;БЭМП РУ-ТН.0.220.Д2;2; ;ЧЭАЗ-КОМПЛЕКТАЦИЯ ООО
196;Блокиратор механический для контакторов TVS 6 65;LAEM1;<>;1; ;ЭЛЕКТРОТЕХМОНТАЖ ТД ООО
197;Блокировка двери;НГКШ.745512.795;<>;89; ;Крабер ООО
198;Блок-контакт;RH 11;<>;2; ;Снаб-СП
199;Блок-контакт PS/SS;ETIMAT  P10 (1NC+1NC/NO);<>;1050; ;Снаб-СП
200;Блок-контакт боковой 1 NO+1NC;BCXMLE11;<>;11; ;Снаб-СП
201;Блок-контакт фронтальный 1 NO;BCXMFE10;<>;12; ;Снаб-СП
202;Боковая панель ТК 600;НГКШ.745418.737-01-Л;<>;8; ;ХРОМОС Инжиниринг
203;Боковая панель ТК 800;НГКШ.745418.737-02-Л;<>;6; ;ХРОМОС Инжиниринг
204;Боковина;ВНК-01 01.00 СБ;<>;2; ;ЛАЗЕР-НН
205;Боковина;ОЛК-01 01.00 СБ;<>;8; ;ЛАЗЕР-НН
206;Боковина;СРК-01 01.00 СБ;<>;3; ;ЛАЗЕР-НН
207;Боковина;СРК-01 01.00 СБ;<>;17; ;ПМК ООО
208;Боковина;НГКШ.301341.1082;<>;4; ;ПМК ООО
209;Боковина;ОЛК-01 01.00 СБ;<>;111; ;ПМК ООО
210;Боковина;НГКШ.745512.1942;<>;14; ;ХРОМОС Инжиниринг
211;Боковина;НГКШ.745512.1942-01;<>;14; ;ХРОМОС Инжиниринг
212;Боковина;НГКШ.745512.2071-01-л;<>;2; ;ХРОМОС Инжиниринг
213;Боковина;ШВБ.К104.1(50)-02.101-01;<>;2; ;ХРОМОС Инжиниринг
214;Боковина;НГКШ.745512.2071-л;<>;2; ;ХРОМОС Инжиниринг
215;Боковина;ТП.К104.1-01.002-01;<>;15; ;ХРОМОС Инжиниринг
216;Боковина;ТП.К104.1-01.002;<>;15; ;ХРОМОС Инжиниринг
217;Боковина;ТП.К104.1-01.001-01;<>;13; ;ХРОМОС Инжиниринг
218;Боковина;ТП.К104.1-01.001;<>;13; ;ХРОМОС Инжиниринг
219;Боковина;НГКШ.745212.2296-01;<>;1; ;ХРОМОС Инжиниринг
220;Боковина;НГКШ.745212.2296;<>;1; ;ХРОМОС Инжиниринг
221;Боковина;НГКШ.745512.2068;<>;8; ;ХРОМОС Инжиниринг
222;Боковина;ШВБ.К104.1-02.101;<>;2; ;ХРОМОС Инжиниринг
223;Боковина;ШВБ.К104.1-02.101-01;<>;2; ;ХРОМОС Инжиниринг
224;Боковина;ШВБ.К104.1(50)-02.101;<>;2; ;ХРОМОС Инжиниринг
225;Боковина;1603.ТП-01.001-01;<>;2; ;ХРОМОС Инжиниринг
226;Боковина;1603.ТП-01.011;<>;1; ;ХРОМОС Инжиниринг
227;Боковина;НГКШ.745512.2020-л;<>;3; ;ХРОМОС Инжиниринг
228;Боковина;НГКШ.745512.2020-01-л;<>;3; ;ХРОМОС Инжиниринг
229;Боковина;1603.ТП-01.001;<>;1; ;ХРОМОС Инжиниринг
230;Боковина;НГКШ.745512.1896;<>;32; ;ХРОМОС Инжиниринг
231;Боковина моста;НГКШ.745512.2136;<>;4; ;ХРОМОС Инжиниринг
232;Боковина СР;НГКШ.745512.2080-01-л;<>;1; ;ХРОМОС Инжиниринг
233;Боковина СР;НГКШ.745512.2080-л;<>;1; ;ХРОМОС Инжиниринг
234;Боковина ТН;НГКШ.745512.1992-л;<>;2; ;ХРОМОС Инжиниринг
235;Боковина ТН;НГКШ.745512.1992-01-л;<>;2; ;ХРОМОС Инжиниринг
236;Боковина тумбы;НГКШ.745512.2133;<>;4; ;ХРОМОС Инжиниринг
237;Болванка;НГКШ.715312.624;<>;1; ;ТЕХКОМ НН
238;Болт;М8х50;<>;25; ;АЛЛ Метиз МК ООО
239;Болт;М12х50;<>;225; ;АЛЛ Метиз МК ООО
240;Болт;М20х50;<>;10; ;АЛЛ Метиз МК ООО
241;Болт;М16х110;<>;20; ;АЛЛ Метиз МК ООО
242;Болт;М6х30;<>;25; ;АЛЛ Метиз МК ООО
243;Болт;ТШАГ.758121.001;<>;8; ;ТЕХКОМ НН
244;Болт;ТШАГ.758121.002;<>;72; ;ТЕХКОМ НН
245;Болт;М8х50;<>;25; ;Центр крепежа
246;Болт (S=10);М6х25;<>;75; ;АЛЛ Метиз МК ООО
247;Болт (S=10);М6х16;<>;100; ;АЛЛ Метиз МК ООО
248;Болт (S=10);М6х12;<>;125; ;АЛЛ Метиз МК ООО
249;Болт (S=10);М6х16;<>;50; ;Центр крепежа
250;Болт (S=13);М8х20;<>;300; ;АЛЛ Метиз МК ООО
251;Болт (S=17);М10х45;<>;500; ;АЛЛ Метиз МК ООО
252;Болт (S=17);М10х40;<>;505; ;АЛЛ Метиз МК ООО
253;Болт (S=17);М10х30-;<>;375; ;АЛЛ Метиз МК ООО
254;Болт (S=17);М10х20;<>;140; ;АЛЛ Метиз МК ООО
255;Болт (S=19);М12х70;<>;260; ;АЛЛ Метиз МК ООО
256;Болт (S=19);М12х45;<>;50; ;АЛЛ Метиз МК ООО
257;Болт (S=24);М16х30;<>;550; ;АЛЛ Метиз МК ООО
258;Болт (кл.8*8);М12х30;<>;4883; ;АЛЛ Метиз МК ООО
259;Болт (кл.8*8);М10х40;<>;8731; ;АЛЛ Метиз МК ООО
260;Болт (кл.8*8);М10х65;<>;301; ;АЛЛ Метиз МК ООО
261;Болт (кл.8*8);М16х40;<>;2041; ;АЛЛ Метиз МК ООО
262;Болт (кл.8*8);М10х50;<>;2467; ;АЛЛ Метиз МК ООО
263;Болт (кл.8*8);М8х35;<>;1048; ;АЛЛ Метиз МК ООО
264;Болт (кл.8*8);М8х30;<>;1752; ;АЛЛ Метиз МК ООО
265;Болт (кл.8*8);М10х20;<>;13411; ;АЛЛ Метиз МК ООО
266;Болт (кл.8*8);М10х70;<>;946; ;АЛЛ Метиз МК ООО
267;Болт (кл.8*8);М8х20;<>;3840; ;АЛЛ Метиз МК ООО
268;Болт (кл.8*8);М12х50;<>;1704; ;АЛЛ Метиз МК ООО
269;Болт (кл.8*8);М12х25;<>;543; ;АЛЛ Метиз МК ООО
270;Болт (кл.8*8);М8х50;<>;999; ;АЛЛ Метиз МК ООО
271;Болт (кл.8*8);М12х70;<>;679; ;АЛЛ Метиз МК ООО
272;Болт (кл.8*8);М8х40;<>;2847; ;АЛЛ Метиз МК ООО
273;Болт (кл.8*8);М20х70;<>;249; ;АЛЛ Метиз МК ООО
274;Болт (кл.8*8);М10х90;<>;383; ;АЛЛ Метиз МК ООО
275;Болт (кл.8*8);М20х80;<>;94; ;АЛЛ Метиз МК ООО
276;Болт (кл.8*8);М10х60;<>;535; ;АЛЛ Метиз МК ООО
277;Болт (кл.8*8);М12х20;<>;611; ;АЛЛ Метиз МК ООО
278;Болт (кл.8*8);М16х100;<>;104; ;АЛЛ Метиз МК ООО
279;Болт (кл.8*8);М10х80;<>;847; ;АЛЛ Метиз МК ООО
280;Болт (кл.8*8);М16х50;<>;880; ;АЛЛ Метиз МК ООО
281;Болт (кл.8*8);М12х80;<>;820; ;АЛЛ Метиз МК ООО
282;Болт (кл.8*8);М6х16;<>;8432; ;Центр крепежа
283;Болт (кл.8*8);М10х70;<>;350; ;Центр крепежа
284;Болт (кл.8*8);М10х80;<>;1100; ;Центр крепежа
285;Болт (кл.8*8);М12х85;<>;480; ;Центр крепежа
286;Болт (кл.8*8);М16х50;<>;2730; ;Центр крепежа
287;Болт (кл.8*8);М12х80;<>;400; ;Центр крепежа
288;Болт (кл.8*8);М8х30;<>;1500; ;Центр крепежа
289;Болт (кл.8*8);М8х20;<>;24141; ;Центр крепежа
290;Болт (кл.8*8);М16х60;<>;427; ;Центр крепежа
291;Болт (кл.8*8);М20х70;<>;1160; ;Центр крепежа
292;Болт (кл.8*8);М10х90;<>;383; ;Центр крепежа
293;Болт (кл.8*8);М8х50;<>;100; ;Центр крепежа
294;Болт (кл.8*8);М10х60;<>;1000; ;Центр крепежа
295;Болт (кл.8*8);М12х50;<>;1500; ;Центр крепежа
296;Болт (кл.8*8);М12х25;<>;350; ;Центр крепежа
297;Болт (кл.8*8);М12х60;<>;2000; ;Центр крепежа
298;Болт (кл.пр. 8);М14х55 (ОРУ);<>;165; ;Центр крепежа
299;Болт DIN 933 оц;М10х70;<>;100; ;АЛЛ Метиз МК ООО
300;Болт запорный EMKA 1092-U6;НГКШ.713441.118;<>;170; ;ТЕХКОМ НН
301;Болт М10х30;ИТЕА.301611.004;<>;3772; ;ИП Карпенко Ю.Д.
302;Болт М10х45;ИТЕА.301611.004-03;<>;2000; ;Возврат с производства
303;Болт оц. DIN 933;М 12х180;<>;25; ;АЛЛ Метиз МК ООО
304;Болт полиамидный с полной резьбой DIN 933;М 6х20;<>;500; ;ДИНФИКС ООО
305;Болт с полной резьбой DIN 933 л. 8.8 цинк РМЗ;М8х60х1,25;<>;690; ;Центр крепежа
306;Болт фланцевый;М8х35 DIN 6921;<>;32; ;Металлург НПЦ
